TIME,RES
2021-11-17 05:47:50,6500
2021-11-17 05:48:20,6500
2021-11-17 05:48:50,6500
2021-11-17 05:49:20,6500
2021-11-17 05:49:51,6500
2021-11-17 05:50:21,6500
2021-11-17 05:50:51,6500
2021-11-17 05:51:21,6500
2021-11-17 05:51:51,6500
2021-11-17 05:52:21,6500
2021-11-17 05:52:51,6500
2021-11-17 05:53:22,6500
2021-11-17 05:53:52,6500
2021-11-17 05:54:22,6500
2021-11-17 05:54:52,6500
2021-11-17 05:55:22,6500
2021-11-17 05:55:52,6500
2021-11-17 05:56:23,6500
2021-11-17 05:56:53,6500
2021-11-17 05:57:23,6500
2021-11-17 05:57:53,6500
2021-11-17 05:58:23,6500
2021-11-17 05:58:53,6500
2021-11-17 05:59:24,6500
2021-11-17 05:59:54,6500
2021-11-17 06:00:24,6500
2021-11-17 06:00:54,6500
2021-11-17 06:01:24,6500
2021-11-17 06:01:54,6500
2021-11-17 06:02:24,6500
2021-11-17 06:02:55,6500
2021-11-17 06:03:25,6500
2021-11-17 06:03:55,6500
2021-11-17 06:04:25,6500
2021-11-17 06:04:55,6500
2021-11-17 06:05:25,6500
2021-11-17 06:05:56,6500
2021-11-17 06:06:26,6500
2021-11-17 06:06:56,6500
2021-11-17 06:07:26,6500
2021-11-17 06:07:56,6500
2021-11-17 06:08:26,6500
2021-11-17 06:08:57,6500
2021-11-17 06:09:27,6500
2021-11-17 06:09:57,6500
2021-11-17 06:10:27,6500
2021-11-17 06:10:57,6500
2021-11-17 06:11:27,6500
2021-11-17 06:11:57,6500
2021-11-17 06:12:28,6500
2021-11-17 06:12:58,6500
2021-11-17 06:13:28,6500
2021-11-17 06:13:58,6500
2021-11-17 06:14:28,6500
2021-11-17 06:14:58,6500
2021-11-17 06:15:29,6500
2021-11-17 06:15:59,6500
2021-11-17 06:16:29,6500
2021-11-17 06:16:59,6500
2021-11-17 06:17:29,6500
2021-11-17 06:17:59,6500
2021-11-17 06:18:29,6500
2021-11-17 06:19:00,6500
2021-11-17 06:19:30,6500
2021-11-17 06:20:00,6500
2021-11-17 06:20:30,6500
2021-11-17 06:21:00,6500
2021-11-17 06:21:30,6500
2021-11-17 06:22:01,6500
2021-11-17 06:22:31,6500
2021-11-17 06:23:01,6500
2021-11-17 06:23:31,6500
2021-11-17 06:24:01,6500
2021-11-17 06:24:31,6500
2021-11-17 06:25:02,6500
2021-11-17 06:25:32,6500
2021-11-17 06:26:02,6500
2021-11-17 06:26:32,6500
2021-11-17 06:27:02,6500
2021-11-17 06:27:32,6500
2021-11-17 06:28:02,6500
2021-11-17 06:28:33,6500
2021-11-17 06:29:03,6500
2021-11-17 06:29:33,6500
2021-11-17 06:30:03,6500
2021-11-17 06:30:33,6500
2021-11-17 06:31:03,6500
2021-11-17 06:31:34,6500
2021-11-17 06:32:04,6500
2021-11-17 06:32:34,6500
2021-11-17 06:33:04,6500
2021-11-17 06:33:34,6500
2021-11-17 06:34:04,6500
2021-11-17 06:34:35,6500
2021-11-17 06:35:05,6500
2021-11-17 06:35:35,6500
2021-11-17 06:36:05,6500
2021-11-17 06:36:35,6500
2021-11-17 06:37:05,6500
2021-11-17 06:37:35,6500
2021-11-17 06:38:06,6500
2021-11-17 06:38:36,6500
2021-11-17 06:39:06,6500
2021-11-17 06:39:36,6500
2021-11-17 06:40:06,6500
2021-11-17 06:40:36,6500
2021-11-17 06:41:07,6500
2021-11-17 06:41:37,6500
2021-11-17 06:42:07,6500
2021-11-17 06:42:37,6500
2021-11-17 06:43:07,6500
2021-11-17 06:43:37,6500
2021-11-17 06:44:07,6500
2021-11-17 06:44:38,6500
2021-11-17 06:45:08,6500
2021-11-17 06:45:38,6500
2021-11-17 06:46:08,6500
2021-11-17 06:46:38,6500
2021-11-17 06:47:08,6500
2021-11-17 06:47:39,6500
2021-11-17 06:48:09,6500
2021-11-17 06:48:39,6500
2021-11-17 06:49:09,6500
2021-11-17 06:49:39,6500
2021-11-17 06:50:09,6500
2021-11-17 06:50:40,6500
2021-11-17 06:51:10,6500
2021-11-17 06:51:40,6500
2021-11-17 06:52:10,6500
2021-11-17 06:52:40,6500
2021-11-17 06:53:10,6500
2021-11-17 06:53:40,6500
2021-11-17 06:54:11,6500
2021-11-17 06:54:41,6500
2021-11-17 06:55:11,6500
2021-11-17 06:55:41,6500
2021-11-17 06:56:11,6500
2021-11-17 06:56:41,6500
2021-11-17 06:57:12,6500
2021-11-17 06:57:42,6500
2021-11-17 06:58:12,6500
2021-11-17 06:58:42,6500
2021-11-17 06:59:12,6500
2021-11-17 06:59:42,6500
2021-11-17 07:00:13,6500
2021-11-17 07:00:43,6500
2021-11-17 07:01:13,6500
2021-11-17 07:01:43,6500
2021-11-17 07:02:13,6500
2021-11-17 07:02:43,6500
2021-11-17 07:03:13,6500
2021-11-17 07:03:44,6500
2021-11-17 07:04:14,6500
2021-11-17 07:04:44,6500
2021-11-17 07:05:14,6500
2021-11-17 07:05:44,6500
2021-11-17 07:06:14,6500
2021-11-17 07:06:45,6500
2021-11-17 07:07:15,6500
2021-11-17 07:07:45,7200
2021-11-17 07:08:15,6500
2021-11-17 07:08:45,6500
2021-11-17 07:09:15,6500
2021-11-17 07:09:45,6500
2021-11-17 07:10:16,6500
2021-11-17 07:10:46,6500
2021-11-17 07:11:16,6500
2021-11-17 07:11:46,6500
2021-11-17 07:12:16,6500
2021-11-17 07:12:46,6500
2021-11-17 07:13:17,6500
2021-11-17 07:13:47,6500
2021-11-17 07:14:17,6500
2021-11-17 07:14:47,6500
2021-11-17 07:15:17,6500
2021-11-17 07:15:47,6500
2021-11-17 07:16:18,6500
2021-11-17 07:16:48,6500
2021-11-17 07:17:18,6500
2021-11-17 07:17:48,6500
2021-11-17 07:18:18,6500
2021-11-17 07:18:48,6500
2021-11-17 07:19:18,6500
