Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;5;8;7;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;5;8;7;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;5;8;7;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;5;9;7;150;2258;50;2;0.986842;0.75;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;5;9;7;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;5;9;7;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;5;9;7;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;5;1;8;150;2257;51;2;0.986842;0.746269;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;5;1;8;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12064;5;1;8;73;1073;22;2;0.973333;0.768421;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18641;5;1;8;108;1653;35;2;0.981818;0.755245;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25786;6;2;9;150;2258;50;2;0.986842;0.75;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5872;6;2;9;37;523;10;2;0.948718;0.787234;63;1472;30;0;1;0.677419;0;0;0;0;0;0
