Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation
blocksworld;move_b_to_t;2;0;0.2;0.5;20;347;12063;7;7;6;66;1080;24;0;1;0.733333;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_t;2;0;0.2;0.75;30;562;18640;6;5;9;103;1658;37;0;1;0.735714;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25785;4;6;5;151;2257;50;2;0.986928;0.751244;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5871;5;5;5;38;523;9;2;0.95;0.808511;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12063;5;5;5;74;1073;21;2;0.973684;0.778947;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18640;5;5;5;109;1653;34;2;0.981982;0.762238;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25785;5;6;5;151;2257;50;2;0.986928;0.751244;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5871;5;5;6;38;523;9;2;0.95;0.808511;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12063;5;5;6;74;1073;21;2;0.973684;0.778947;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18640;5;5;6;109;1653;34;2;0.981982;0.762238;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25785;5;6;6;151;2257;50;2;0.986928;0.751244;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5871;6;5;6;38;523;9;2;0.95;0.808511;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12063;6;5;6;74;1073;21;2;0.973684;0.778947;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18640;6;5;6;109;1653;34;2;0.981982;0.762238;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25785;5;6;7;151;2257;50;2;0.986928;0.751244;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5871;6;6;6;38;523;9;2;0.95;0.808511;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12063;6;6;6;74;1073;21;2;0.973684;0.778947;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18640;6;6;6;109;1653;34;2;0.981982;0.762238;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25785;6;6;7;151;2257;50;2;0.986928;0.751244;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5871;7;6;6;38;523;9;2;0.95;0.808511;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12063;7;6;6;74;1073;21;2;0.973684;0.778947;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18640;6;7;6;109;1653;34;2;0.981982;0.762238;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;1;40;735;25785;7;6;7;151;2257;50;2;0.986928;0.751244;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.25;10;169;5871;8;6;6;38;523;9;2;0.95;0.808511;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.5;20;347;12063;8;6;6;74;1073;21;2;0.973684;0.778947;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_t_to_b;2;0;0.2;0.75;30;562;18640;6;8;6;109;1653;34;2;0.981982;0.762238;63;1472;30;0;1;0.677419;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;6;5;5;152;20770;386;292;0.342342;0.282528;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5871;6;5;5;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12063;6;5;5;110;9342;523;95;0.536585;0.173776;105;18715;600;205;0.33871;0.148936;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18640;6;5;5;206;14387;871;142;0.591954;0.191272;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;7;5;5;261;19938;1218;183;0.587838;0.176471;131;18702;613;179;0.422581;0.176075;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5871;7;5;5;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.5;20;347;12063;7;5;5;80;9680;185;125;0.390244;0.301887;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.75;30;562;18640;7;5;5;157;14765;493;191;0.451149;0.241538;92;19050;265;218;0.296774;0.257703;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;1;40;735;25785;8;5;5;152;20770;386;292;0.342342;0.282528;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
blocksworld;move_b_to_b;2;0;0.2;0.25;10;169;5871;8;5;5;40;4715;88;53;0.430108;0.3125;81;19120;195;229;0.26129;0.293478;0;0;0;0;0;0
