 175801  473.4m 329.5m  13.7m 120.0   2.1    2021-11-12T12:42:38+01:00
 175730   22.3g 172.4m  56.3m   0.0   1.1    2021-11-12T12:42:38+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:43:08+01:00
 175803 4811.8m   4.3g  13.6m 100.0  27.6    2021-11-12T12:43:08+01:00
 175802 4224.9m   3.7g  13.6m 100.0  23.9    2021-11-12T12:43:08+01:00
 175804  529.7m 430.9m  13.7m 106.7   2.7    2021-11-12T12:43:08+01:00
 175801  481.5m 341.2m  13.7m 120.0   2.1    2021-11-12T12:43:08+01:00
 175730   22.3g 172.4m  56.3m   0.0   1.1    2021-11-12T12:43:08+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:43:38+01:00
 175802 4907.9m   4.2g  13.6m 100.0  26.8    2021-11-12T12:43:38+01:00
 175803 4171.4m   3.7g  13.6m 106.7  23.6    2021-11-12T12:43:38+01:00
 175804  533.7m 436.6m  13.7m 120.0   2.7    2021-11-12T12:43:38+01:00
 175801  488.5m 351.4m  13.7m 126.7   2.2    2021-11-12T12:43:38+01:00
 175730   22.3g 172.4m  56.3m   0.0   1.1    2021-11-12T12:43:38+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:44:08+01:00
 175802 4225.3m   3.7g  13.6m 100.0  23.9    2021-11-12T12:44:08+01:00
 175803 4186.4m   3.7g  13.6m 100.0  23.7    2021-11-12T12:44:08+01:00
 175804  537.2m 441.9m  13.7m 120.0   2.8    2021-11-12T12:44:08+01:00
 175801  495.2m 361.2m  13.7m 120.0   2.3    2021-11-12T12:44:08+01:00
 175730   22.3g 172.4m  56.3m   0.0   1.1    2021-11-12T12:44:08+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:44:38+01:00
 175802 4225.6m   3.7g  13.6m 106.7  23.9    2021-11-12T12:44:38+01:00
 175803 4194.5m   3.7g  13.6m 120.0  23.8    2021-11-12T12:44:38+01:00
 175804  577.3m 472.5m  13.7m 120.0   3.0    2021-11-12T12:44:38+01:00
 175801  535.1m 402.3m  13.7m 126.7   2.5    2021-11-12T12:44:38+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:44:38+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:45:08+01:00
 175802 4908.5m   4.4g  13.6m 106.7  28.2    2021-11-12T12:45:08+01:00
 175803 4200.9m   3.7g  13.6m 106.7  23.8    2021-11-12T12:45:08+01:00
 175804  579.8m 476.9m  13.7m 106.7   3.0    2021-11-12T12:45:08+01:00
 175801  507.8m 379.4m  13.7m 126.7   2.4    2021-11-12T12:45:08+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:45:08+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:45:39+01:00
 175802 4234.2m   3.7g  13.6m 100.0  24.0    2021-11-12T12:45:39+01:00
 175803 4212.3m   3.7g  13.6m 126.7  23.9    2021-11-12T12:45:39+01:00
 175804  646.6m 545.5m  13.7m 133.3   3.4    2021-11-12T12:45:39+01:00
 175801  551.6m 425.4m  13.7m 126.7   2.7    2021-11-12T12:45:39+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:45:39+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:46:09+01:00
 175802 4955.5m   4.4g  13.6m 100.0  28.5    2021-11-12T12:46:09+01:00
 175803 4215.5m   3.7g  13.6m 100.0  23.9    2021-11-12T12:46:09+01:00
 175804  585.1m 486.6m  13.7m 100.0   3.1    2021-11-12T12:46:09+01:00
 175801  522.4m 398.5m  13.7m 113.3   2.5    2021-11-12T12:46:09+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:46:09+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:46:39+01:00
 175802 4955.5m   3.8g  13.6m 106.7  24.6    2021-11-12T12:46:39+01:00
 175803 4215.8m   3.7g  13.6m 100.0  23.9    2021-11-12T12:46:39+01:00
 175804  654.8m 552.5m  13.7m 120.0   3.5    2021-11-12T12:46:39+01:00
 175801  528.3m 407.0m  13.7m 120.0   2.6    2021-11-12T12:46:39+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:46:39+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:47:09+01:00
 175802 4964.6m   4.4g  13.6m 100.0  28.6    2021-11-12T12:47:09+01:00
 175803 4221.1m   3.7g  13.6m 106.7  24.0    2021-11-12T12:47:09+01:00
 175804  592.8m 498.4m  13.7m  93.3   3.1    2021-11-12T12:47:09+01:00
 175801  536.2m 416.8m  13.7m 100.0   2.6    2021-11-12T12:47:09+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:47:09+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:47:39+01:00
 175802 4318.8m   3.8g  13.6m  93.8  24.5    2021-11-12T12:47:39+01:00
 175803 4223.7m   3.7g  13.6m  93.8  24.0    2021-11-12T12:47:39+01:00
 175804  597.1m 504.6m  13.7m  93.8   3.2    2021-11-12T12:47:39+01:00
 175801  541.5m 424.9m  13.7m 118.8   2.7    2021-11-12T12:47:39+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:47:39+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:48:09+01:00
 175802 4332.5m   3.8g  13.6m 100.0  24.6    2021-11-12T12:48:09+01:00
 175803 4229.2m   3.7g  13.6m  93.8  24.0    2021-11-12T12:48:09+01:00
 175804  601.5m 511.1m  13.7m 100.0   3.2    2021-11-12T12:48:09+01:00
 175801  547.4m 433.5m  13.7m 112.5   2.7    2021-11-12T12:48:09+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:48:09+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:48:40+01:00
 175802 4332.8m   3.8g  13.6m 112.5  24.6    2021-11-12T12:48:40+01:00
 175803 4234.9m   3.7g  13.6m  93.8  24.0    2021-11-12T12:48:40+01:00
 175804  674.6m 518.2m  13.7m 100.0   3.3    2021-11-12T12:48:40+01:00
 175801  552.8m 441.6m  13.7m 118.8   2.8    2021-11-12T12:48:40+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:48:40+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:49:10+01:00
 175803 4911.3m   4.2g  13.6m 106.7  26.8    2021-11-12T12:49:10+01:00
 175802 4344.7m   3.8g  13.6m 106.7  24.7    2021-11-12T12:49:10+01:00
 175804  678.0m 523.5m  13.7m 113.3   3.3    2021-11-12T12:49:10+01:00
 175801  561.0m 453.1m  13.7m 106.7   2.8    2021-11-12T12:49:10+01:00
 175776 4033.5m 132.5m  27.4m   0.0   0.8    2021-11-12T12:49:10+01:00

    PID    VIRT    RES    SHR  %CPU  %MEM    2021-11-12T12:49:40+01:00
